adsorption_energy,exchange_correlation,potentials,adsorbate_formula,adsorbate_connectivity_smiles,termination,fraction,adsorbate_num_atoms,atomic_num_1,atomic_num_2,atomic_num_3,atomic_num_4,atomic_num_5,atomic_num_6,atomic_num_6.1,atomic_num_8,atomic_num_9,atomic_num_10,atomic_num_1.1,atomic_num_12,atomic_num_13,atomic_num_14,atomic_num_15,atomic_num_16,atomic_num_17,atomic_num_18,atomic_num_19,atomic_num_20,atomic_num_21,atomic_num_22,atomic_num_23,atomic_num_24,atomic_num_25,atomic_num_26,atomic_num_27,atomic_num_28,atomic_num_29,atomic_num_30,double,triple,termination_atomic_num,software,spin_polarization,zero_point_energy,Fixed_Substrate,LatticeConstant1,facet,Substrate_Symmetry
-4.29,PW91,ultrasoft pseudopotential,O,[O],Cu,0.25,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0,Dacapo,False,False,False,3.66,111.0,2x2
-0.56,PW91,ultrasoft pseudopotential,O2,[O][O],Cu,0.25,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,29.0,Dacapo,False,False,False,3.66,111.0,2x2
-3.14,PW91,norm-conserving pseudopotential,O,[O],Ag,0.1667,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.0,CETEP,True,False,False,4.19,110.0,3x2
-0.5,PW91,norm-conserving pseudopotential,O2,[O][O],Ag,0.1667,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,47.0,CETEP,True,False,False,4.19,110.0,3x2
-1.67,PW91,ultrasoft pseudopotential,O2,[O][O],Ni,0.25,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28.0,VASP,False,False,False,3.532,111.0,4x2
-2.3,PW91,ultrasoft pseudopotential,O,[O],Ni,0.25,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0,VASP,False,False,False,3.532,111.0,4x2
-2.54,PW91,ultrasoft pseudopotential,O,[O],Au,0.25,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.0,Dacapo,True,False,True,4.18,111.0,2x2
-2.77,PW91,ultrasoft pseudopotential,O,[O],Au,0.1667,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.0,Dacapo,True,False,True,4.18,211.0,3x2
-0.15,PW91,ultrasoft pseudopotential,O2,[O][O],Au,0.1667,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,79.0,Dacapo,True,False,True,4.18,211.0,3x2
0.2,RPBE,ultrasoft pseudopotential,O2,[O][O],Au,0.1667,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,79.0,Dacapo,True,False,True,4.18,211.0,3x2
-2.83,PW91,ultrasoft pseudopotential,O,[O],Au,0.25,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.0,Dacapo,True,False,False,4.18,211.0,3x2
-0.15,PW91,ultrasoft pseudopotential,O2,[O][O],Au,0.1667,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,79.0,Dacapo,True,False,False,4.18,211.0,3x2
-4.57,PW91,ultrasoft pseudopotential,O,[O],Ir,0.25,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.0,Dacapo,False,False,False,3.86,111.0,2x2
-1.27,PW91,ultrasoft pseudopotential,O2,[O][O],Ir,0.25,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,77.0,Dacapo,False,False,False,3.86,111.0,2x2
