adsorption_energy,exchange_correlation,potentials,adsorbate_formula,adsorbate_smiles,adsorbate_molecular_formula,adsorbate_connectivity_smiles,adsorption_measurement.bulk_surface_property_set.termination,adsorption_measurement.bulk_surface_property_set.space_group,adsorption_measurement.bulk_surface_property_set.bulk_surface_material.name,adsorption_measurement.bulk_surface_property_set.lattice_constant.lattice_constant_2,adsorption_measurement.bulk_surface_property_set.lattice_constant.lattice_constant_3,adsorption_measurement.bulk_surface_property_set.facet.name,adsorption_measurement.adsorbate_fraction.numeric,adsorption_measurement.adsorbate_fraction.unit,adsorption_measurement.adsorption_site.site_name,adsorbate_num_atoms,atomic_num_1,atomic_num_2,atomic_num_3,atomic_num_4,atomic_num_5,atomic_num_6,atomic_num_6,atomic_num_8,atomic_num_9,atomic_num_10,atomic_num_1,atomic_num_12,atomic_num_13,atomic_num_14,atomic_num_15,atomic_num_16,atomic_num_17,atomic_num_18,atomic_num_19,atomic_num_20,atomic_num_21,atomic_num_22,atomic_num_23,atomic_num_24,atomic_num_25,atomic_num_26,atomic_num_27,atomic_num_28,atomic_num_29,atomic_num_30,double,triple,termination_atomic_num,facet_num,software,spin_polarization,zero_point_energy,Fixed_Substrate,LatticeConstant1,facet,Substrate_Symmetry
-4.29,PW91,ultrasoft pseudopotential,O,[O],O,[O],Cu,Fm3m,Cu,,,(111),0.25,Cu,fcc,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0,111.0,Dacapo,False,False,False,3.66,111.0,2x2
-0.56,PW91,ultrasoft pseudopotential,O2,O=O,O2,[O][O],Cu,Fm3m,Cu,,,(111),0.25,Cu,b-h-b,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,29.0,111.0,Dacapo,False,False,False,3.66,111.0,2x2
-3.14,PW91,norm-conserving pseudopotential,O,[O],O,[O],Ag,Fm3m,Ag,,,(110),0.1667,Ag,fourfold hollow,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.0,110.0,CETEP,True,False,False,4.19,110.0,3x2
-0.5,PW91,norm-conserving pseudopotential,O2,O=O,O2,[O][O],Ag,Fm3m,Ag,,,(110),0.1667,Ag,fourfold hollow (1-10),2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,47.0,110.0,CETEP,True,False,False,4.19,110.0,3x2
-1.67,PW91,ultrasoft pseudopotential,O2,O=O,O2,[O][O],Ni,,Ni,,,(111),0.25,Ni,t-hcp-b,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28.0,111.0,VASP,False,False,False,3.532,111.0,4x2
-2.3,PW91,ultrasoft pseudopotential,O,[O],O,[O],Ni,,Ni,,,(111),0.25,Ni,fcc,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0,111.0,VASP,False,False,False,3.532,111.0,4x2
-2.54,PW91,ultrasoft pseudopotential,O,[O],O,[O],Au,Fm3m,Au,,,(111),0.25,Au,fcc,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.0,111.0,Dacapo,True,False,True,4.18,111.0,2x2
-2.77,PW91,ultrasoft pseudopotential,O,[O],O,[O],Au,Fm3m,Au,,,(211),0.1667,Au,f0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.0,211.0,Dacapo,True,False,True,4.18,211.0,3x2
-0.15,PW91,ultrasoft pseudopotential,O2,O=O,O2,[O][O],Au,Fm3m,Au,,,(211),0.1667,Au,top-bridge-top,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,79.0,211.0,Dacapo,True,False,True,4.18,211.0,3x2
0.2,RPBE,ultrasoft pseudopotential,O2,O=O,O2,[O][O],Au,Fm3m,Au,,,(211),0.1667,Au,f0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,79.0,211.0,Dacapo,True,False,True,4.18,211.0,3x2
