adsorption_measurement.adsorption_energy,adsorption_measurement.method.software,adsorption_measurement.method.exchange_correlation,adsorption_measurement.method.basis_set,adsorption_measurement.method.potentials,adsorption_measurement.method.is_spin_polarization,adsorption_measurement.method.is_zero_point_energy,adsorption_measurement.method.is_fixed_substrate,adsorption_measurement.adsorbate_species.formula,adsorption_measurement.adsorbate_species.smiles,adsorption_measurement.adsorbate_species.molecular_formula,adsorption_measurement.adsorbate_species.connectivity_smiles,adsorption_measurement.bulk_surface_property_set.termination,adsorption_measurement.bulk_surface_property_set.space_group,adsorption_measurement.bulk_surface_property_set.bulk_surface_material.name,adsorption_measurement.bulk_surface_property_set.lattice_constant.lattice_constant_1,adsorption_measurement.bulk_surface_property_set.lattice_constant.lattice_constant_2,adsorption_measurement.bulk_surface_property_set.lattice_constant.lattice_constant_3,adsorption_measurement.bulk_surface_property_set.facet.name,adsorption_measurement.bulk_surface_property_set.cell_symmetry.name,adsorption_measurement.adsorbate_fraction.numeric,adsorption_measurement.adsorbate_fraction.unit,adsorption_measurement.adsorption_site.site_name,adsorbate_num_atoms,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,double,triple,termination_atomic_num,facet_num
-4.29,Dacapo,PW91,plane wave,ultrasoft pseudopotential,,,False,O,[O],O,[O],Cu,Fm3m,Cu,3.66,,,(111),2x2,0.25,Cu,fcc,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0,111
-0.56,Dacapo,PW91,plane wave,ultrasoft pseudopotential,,,False,O2,O=O,O2,[O][O],Cu,Fm3m,Cu,3.66,,,(111),2x2,0.25,Cu,b-h-b,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,29.0,111
-3.14,CETEP,PW91,plane wave,norm-conserving pseudopotential,True,,,O,[O],O,[O],Ag,Fm3m,Ag,4.19,,,(110),3x2,0.1667,Ag,fourfold hollow,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.0,110
-0.5,CETEP,PW91,plane wave,norm-conserving pseudopotential,True,,,O2,O=O,O2,[O][O],Ag,Fm3m,Ag,4.19,,,(110),3x2,0.1667,Ag,fourfold hollow (1-10),2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,47.0,110
-1.67,VASP,PW91,plane wave,ultrasoft pseudopotential,,,,O2,O=O,O2,[O][O],Ni,,Ni,3.532,,,(111),4x2,0.25,Ni,t-hcp-b,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28.0,111
-2.3,VASP,PW91,plane wave,ultrasoft pseudopotential,,,,O,[O],O,[O],Ni,,Ni,3.532,,,(111),4x2,0.25,Ni,fcc,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0,111
-2.54,Dacapo,PW91,plane wave,ultrasoft pseudopotential,True,,True,O,[O],O,[O],Au,Fm3m,Au,4.18,,,(111),2x2,0.25,Au,fcc,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.0,111
-2.77,Dacapo,PW91,plane wave,ultrasoft pseudopotential,True,,True,O,[O],O,[O],Au,Fm3m,Au,4.18,,,(211),3x2,0.1667,Au,f0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.0,211
-0.15,Dacapo,PW91,plane wave,ultrasoft pseudopotential,True,,True,O2,O=O,O2,[O][O],Au,Fm3m,Au,4.18,,,(211),3x2,0.1667,Au,top-bridge-top,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,79.0,211
0.2,Dacapo,RPBE,plane wave,ultrasoft pseudopotential,True,,True,O2,O=O,O2,[O][O],Au,Fm3m,Au,4.18,,,(211),3x2,0.1667,Au,f0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,79.0,211
